INFO 2026-03-28 01:22:59,849 autoreload Watching for file changes with StatReloader
INFO 2026-03-28 01:23:31,915 log "GET /api/inventory/departments/ HTTP/1.1" 200 995
INFO 2026-03-28 01:23:31,934 log "GET /api/inventory/raw-materials/?page=1&page_size=11 HTTP/1.1" 200 2306
INFO 2026-03-28 01:23:31,938 log "GET /api/inventory/departments/ HTTP/1.1" 200 995
INFO 2026-03-28 01:23:31,964 log "GET /api/inventory/raw-materials/?page=1&page_size=11 HTTP/1.1" 200 2306
WARNING 2026-03-28 01:24:08,988 log Unauthorized: /api/inventory/departments/
WARNING 2026-03-28 01:24:08,989 log "GET /api/inventory/departments/?page=1&page_size=5 HTTP/1.1" 401 172
WARNING 2026-03-28 01:24:08,991 log Unauthorized: /api/inventory/departments/
WARNING 2026-03-28 01:24:08,992 log "GET /api/inventory/departments/?page=1&page_size=5 HTTP/1.1" 401 172
INFO 2026-03-28 01:25:29,850 log "POST /api/token/ HTTP/1.1" 200 558
INFO 2026-03-28 01:25:43,318 log "POST /api/token/ HTTP/1.1" 200 558
INFO 2026-03-28 01:25:44,807 log "GET /api/inventory/suppliers/?page=1&page_size=7 HTTP/1.1" 200 1292
INFO 2026-03-28 01:25:44,836 log "GET /api/inventory/suppliers/?page=1&page_size=7 HTTP/1.1" 200 1292
INFO 2026-03-28 01:25:45,911 log "GET /api/inventory/departments/ HTTP/1.1" 200 995
INFO 2026-03-28 01:25:45,934 log "GET /api/inventory/departments/ HTTP/1.1" 200 995
INFO 2026-03-28 01:25:45,937 log "GET /api/inventory/raw-materials/?page=1&page_size=11 HTTP/1.1" 200 2306
INFO 2026-03-28 01:25:45,968 log "GET /api/inventory/raw-materials/?page=1&page_size=11 HTTP/1.1" 200 2306
INFO 2026-03-28 01:25:47,528 log "GET /api/inventory/departments/?page=1&page_size=5 HTTP/1.1" 200 694
INFO 2026-03-28 01:25:47,541 log "GET /api/inventory/departments/?page=1&page_size=5 HTTP/1.1" 200 694
INFO 2026-03-28 01:25:48,787 log "GET /api/inventory/departments/ HTTP/1.1" 200 995
INFO 2026-03-28 01:25:48,809 log "GET /api/inventory/departments/ HTTP/1.1" 200 995
INFO 2026-03-28 01:25:48,814 log "GET /api/inventory/raw-materials/?page=1&page_size=11 HTTP/1.1" 200 2306
INFO 2026-03-28 01:25:48,845 log "GET /api/inventory/raw-materials/?page=1&page_size=11 HTTP/1.1" 200 2306
INFO 2026-03-28 01:25:49,906 log "GET /api/inventory/suppliers/?page=1&page_size=7 HTTP/1.1" 200 1292
INFO 2026-03-28 01:25:49,921 log "GET /api/inventory/suppliers/?page=1&page_size=7 HTTP/1.1" 200 1292
INFO 2026-03-28 01:25:54,204 log "GET /api/inventory/departments/ HTTP/1.1" 200 995
INFO 2026-03-28 01:25:54,219 log "GET /api/inventory/departments/ HTTP/1.1" 200 995
